Theia,OName,logage,Avmag,string,width,height,length,GLON,GLAT,Par,vl,vb,RV,X,Y,Z,U,V,W,dist_pc
375,0,8.11432,0.159777,y,11.7156,6.40858,55.2353,349.554,-9.54078,3.85347,-8.52982,-6.9451,-10.7098,248.105,-47.7859,-44.7377,-25.6527,-3.44161,-2.24188,259.50636698871403
376,0,8.17957,0.250421,0,12.167,6.88601,0.0,258.752,11.3129,3.73247,-23.0476,4.6838,13.8674,-51.245,-257.667,52.5571,-25.6681,-8.11662,7.47542,267.919099148821
377,0,8.19079,0.602982,0,15.229,4.92967,0.0,340.359,-5.47694,3.69644,6.45457,0.350129,0.0212839,253.627,-90.5185,-25.8208,2.24849,6.14328,0.321756,270.5305645431821
378,0,8.10697,0.213791,0,9.84047,8.68691,0.0,207.683,-0.409413,3.65759,14.53,3.25989,8.34743,-242.101,-127.017,-1.95362,-0.618644,-17.2472,3.30398,273.40407208024953
379,0,8.13704,0.220001,y,92.4602,21.6366,431.403,213.245,1.66674,2.76403,-4.03437,-8.35501,3.69533,-275.142,-162.159,9.40646,-6.3554,-0.952241,-9.28302,361.79057390838744
380,RSG_1,8.11806,0.933333,y,24.5239,5.94955,273.135,166.314,-2.87928,2.67426,1.61001,-4.09358,-1.78,-335.51,78.8313,-23.9294,-3.87663,-1.44113,-3.91777,373.93521946258033
381,0,8.11234,0.481682,0,13.5792,8.77103,0.0,347.392,19.5084,2.4274,-0.250233,4.01076,6.56327,378.95,-84.7583,137.573,4.80215,-1.17962,6.14522,411.9634176485128
382,0,8.17101,0.177203,0,18.7358,21.4538,0.0,112.966,-16.1429,2.21274,-7.14902,3.08224,-6.20021,-169.381,399.701,-125.651,8.93758,-1.86713,4.81874,451.92837839059257
383,0,8.134,0.267,0,15.8492,7.7152,0.0,218.715,8.97327,2.16226,-4.14739,6.09984,-8.82072,-356.439,-285.717,72.1345,5.06996,9.47426,4.74299,462.4790728219548
384,0,8.15797,0.704998,y,37.2697,22.3943,218.162,134.7,7.16016,2.12314,-20.5125,-1.63746,-8.35905,-322.476,313.482,62.5996,20.8174,9.30739,-3.38975,471.00049926052924
385,0,8.11133,0.196151,0,14.379,13.0649,0.0,197.894,4.60662,1.97949,-4.65509,-0.57293,3.44796,-479.191,-154.718,40.5731,-4.90886,3.57093,-0.454137,505.18062733330305
386,0,8.10693,1.39748,0,19.3651,16.3182,0.0,112.254,1.97999,1.81476,48.7993,-4.48754,-45.3923,-208.565,509.688,19.0387,-29.0982,-61.8764,-5.86758,551.0370517313585
387,0,8.10128,0.56059,0,6.85194,4.67994,0.0,169.744,-0.325436,1.79445,4.60523,-7.38889,1.57057,-548.362,99.2183,-3.16526,-2.36973,-4.3159,-7.53287,557.2738164897322
388,0,8.13698,0.388,y,26.2011,8.92764,165.275,103.505,-8.27995,1.77979,-9.7942,3.52207,-0.209751,-132.685,521.791,-81.581,9.21237,4.84197,2.28587,561.864040139567
389,0,8.15274,0.3937,y,28.3051,7.48094,363.871,13.2053,-15.3417,1.77251,-10.1494,1.10948,-8.46931,506.719,101.469,-148.676,-5.87909,-12.5556,3.62342,564.1717113020519
390,0,8.12378,0.377929,y,62.2506,11.4837,352.077,171.778,11.2749,1.75299,-8.76745,0.379825,-14.2647,-529.092,65.4623,108.808,17.3084,6.09424,-3.46902,570.4539101763273
391,ASCC_128,8.17055,0.492236,y,30.7421,12.2218,268.716,112.02,-6.72463,1.71785,-8.99062,2.82356,-6.39491,-230.08,549.836,-67.7126,12.3679,-6.14792,3.219,582.1230025904473
392,0,8.15777,0.521047,0,23.7918,5.53152,0.0,214.266,-13.8928,1.67429,-1.68038,5.83535,2.97504,-479.163,-326.447,-143.408,-4.60977,-1.05785,5.13877,597.2680957301303
393,0,8.10742,0.447899,0,18.4009,10.6773,0.0,125.826,-6.79395,1.66077,-3.59845,-1.35775,-9.0175,-349.964,484.78,-71.2314,8.52542,-5.3542,-0.369146,602.1303371327757
394,0,8.1966,0.369864,0,13.3438,8.70259,0.0,233.172,7.8627,1.65744,-9.01305,-0.435799,16.3039,-358.249,-478.396,82.5366,-17.4468,-7.6614,1.75108,603.3400907423496
395,0,8.10099,0.202,0,10.4498,9.47199,0.0,231.644,10.3248,1.64409,-4.846,-8.92307,10.3579,-371.33,-469.237,109.013,-11.3804,-6.3798,-7.12292,608.2392083158464
396,0,8.11353,0.254077,0,27.1511,14.1707,0.0,247.891,8.10567,1.61085,-21.4065,-1.76735,18.6972,-231.317,-569.397,87.5312,-27.9254,-9.41459,0.573355,620.790266008629
397,Alessi_Teutsch_11,8.17555,0.218264,0,18.7774,12.8438,0.0,87.7255,9.13823,1.5792,-13.6402,3.21799,-3.3833,24.8124,624.704,100.568,13.5733,-4.47947,2.69003,633.2320162107396
398,0,8.14585,0.235,0,11.8156,6.65463,0.0,231.258,-8.01941,1.49928,-10.8906,-8.4523,0.0,-413.325,-515.147,-93.0504,-7.90405,7.8992,-8.62225,666.9868203404301
399,0,8.133,0.396,0,9.71009,11.2583,0.0,193.286,-0.840552,1.47829,1.26249,-0.80688,0.771138,-658.281,-155.445,-9.92356,-0.436013,-1.52995,-0.870245,676.4572580481502
400,0,8.104,0.962999,y,44.8364,7.21258,166.909,8.41665,7.15814,1.4589,12.2478,5.40512,-18.8527,672.743,88.384,87.5963,-19.2214,9.98954,3.15973,685.4479402289395
401,0,8.19603,0.425001,0,21.2351,19.1332,0.0,107.449,-12.1099,1.44563,-20.5809,-0.546923,-1.63853,-202.811,645.221,-145.118,20.8584,4.71486,-0.200013,691.7399334546184
402,0,8.1831,1.15513,0,21.098,10.6938,0.0,60.3914,3.88899,1.43106,5.52003,2.56588,27.3901,344.454,606.138,47.3939,8.62331,27.0289,4.65214,698.7827205008874
403,0,8.16206,1.8191,y,21.1497,20.2054,325.964,24.9077,-0.0711216,1.42332,-0.947995,-0.0307067,0.0,605.184,281.594,-8.23551,0.385234,-0.311096,1.50306,702.5826939830819
404,0,8.15901,0.317823,0,11.5264,6.5304,0.0,303.08,12.3328,1.4106,-20.7901,-3.05126,-6.20802,378.01,-580.301,151.418,-21.1309,-7.16497,-4.43148,708.9181908407769
405,NGC_6025,8.15173,0.573493,y,33.2814,28.2094,232.304,326.403,-3.98213,1.40988,-1.2464,1.46711,-7.09054,539.216,-340.109,-35.7903,0.0,0.0,0.0,709.2802224302777
406,0,8.11413,0.449526,0,16.6438,7.76353,0.0,351.994,-12.3672,1.36646,7.26644,5.76831,4.74397,707.868,-99.5601,-156.738,7.08232,6.81483,5.00437,731.8179822314594
407,Collinder_394,8.14112,0.797792,y,8.94181,8.7027,100.361,15.2182,-9.18496,1.35685,-11.191,5.3347,25.6902,706.29,190.367,-116.371,29.6526,-3.32355,1.31009,737.0011423517707
408,0,8.19338,0.77624,0,7.51184,7.35033,0.0,65.5897,1.48509,1.35279,-14.179,0.573706,16.6334,305.39,672.906,19.158,20.4971,9.35536,1.02792,739.213033804212
409,0,8.1282,0.24098,0,5.59557,3.99773,0.0,217.832,3.52581,1.33638,-8.95107,1.94253,-3.07578,-589.885,-458.097,46.0184,-3.07553,9.27894,1.79606,748.290156991275
