RAdeg,DEdeg,2MASS,EPIC,D17-Prot,D17-P,Prot,P,dCMD,eCMD,RVel,e_RVel,epsi,gmag,b-r,Teff,Gaia,SFlag,bp_rp,bp_g,g_rp,distance,x,y,z,u,v,w
132.749496,19.009886,2MASS J08505988+1900356,211918998,1.56,2,1.56,2,0.271367,0.027106,0,0,0.3,17.713,2.976,3251.1,660627753231184128,YYY-Y,2.975955963,1.675487518,1.300468445,,,,,,,
132.136261,16.939896,2MASS J08483271+1656237,211773459,17.91,K,17.91,K,-0.331861,0.005554,0,0,0.4,14.889,2.223,3769.93,658276035297795328,NYY-Y,2.22328186,1.146368027,1.076913834,,,,,,,
130.257339,17.814312,2MASS J08410176+1748516,211835162,1.31,2,1.31,2,0.12873,0.022364,0,0,0.54,17.561,2.973,3296.54,659364448730632448,YYY-Y,2.9734478,1.688772202,1.284675598,,,,,,,
131.049774,17.902159,2MASS J08441195+1754079,211841501,1.88,2,1.88,2,0.037247,0.000781,-0.22,0.49,0,9.814,0.627,6456.78,658628905514597376,YYNYY,0.627420425,0.254190445,0.37322998,,,,,,,
130.580139,19.037434,2MASS J08421924+1902148,211920850,24.64,2,24.64,2,0.148763,0.008927,0,0,0.21,16.146,2.516,3486.65,661026738512909440,YYY-Y,2.516072273,1.358039856,1.158032417,,,,,,,
130.324127,17.055721,2MASS J08411779+1703206,211781646,1.34,2,1.34,2,-0.606923,0.02381,0,0,0.45,17.321,3.116,3288.23,658436014239681536,YNY-Y,3.115854263,1.793619156,1.322235107,,,,,,,
131.960495,19.153065,2MASS J08475052+1909110,211928574,1.49,2,1.49,2,0.158548,0.038806,0,0,0.33,17.412,2.922,3299.29,660327960217390848,YYY-Y,2.922117233,1.641256332,1.280860901,,,,,,,
129.116074,21.121124,2MASS J08362787+2107162,0,13.09,D,13.09,D,-0.005246,0.002059,0,0,0,13.607,1.606,4177.48,664727247975949312,YY--Y,1.605755806,0.768266678,0.837489128,,,,,,,
131.106476,22.599758,2MASS J08442556+2235592,212129124,6.8,2,6.8,2,-0.105359,0.018035,0,0,0.33,16.776,2.813,3371.7,665309233224172800,NYY-Y,2.813388824,1.575054169,1.238334656,,,,,,,
127.324173,17.703186,2MASS J08291781+1742115,211827220,12.22,2,12.22,2,-0.724555,0.007912,0,0,0.45,15.897,2.739,3538.87,662172429630090880,YNY-Y,2.739397049,1.520977974,1.218419075,,,,,,,
128.315674,23.162035,2MASS J08331576+2309434,212155860,1.08,2,1.08,2,0.462012,0.041645,0,0,0.57,17.789,2.943,3214.77,666328239984768512,NYY-Y,2.942983627,1.64881134,1.294172287,,,,,,,
130.005585,20.372932,2MASS J08400135+2022226,212007145,0.87,2,0.87,2,0.784038,0.048849,0,0,0.47,18.357,3.014,3162.46,664441615470632064,YNY-Y,3.013782501,1.650655746,1.363126755,,,,,,,
